日付,平均視聴時間
2025-09-02,
2025-09-03,0:00:00
2025-09-04,0:00:00
2025-09-05,0:00:00
2025-09-06,0:00:00
2025-09-07,0:00:00
2025-09-08,0:00:00
2025-09-09,0:00:00
2025-09-10,0:00:00
2025-09-11,0:00:00
2025-09-12,0:00:00
2025-09-13,0:00:00
2025-09-14,0:00:00
2025-09-15,0:00:00
2025-09-16,0:00:00
2025-09-17,0:00:00
2025-09-18,0:00:00
2025-09-19,0:00:43
2025-09-20,0:00:00
2025-09-21,0:00:12
2025-09-22,0:00:00
2025-09-23,0:00:00
2025-09-24,0:05:03
2025-09-25,0:13:52
2025-09-26,0:00:10
2025-09-27,0:04:31
2025-09-28,0:07:07
2025-09-29,0:07:18
2025-09-30,0:00:53
2025-10-01,0:13:35
2025-10-02,0:00:00
2025-10-03,0:02:35
2025-10-04,0:00:00
2025-10-05,0:07:51
2025-10-06,0:13:35
2025-10-07,0:06:37
2025-10-08,0:07:06
2025-10-09,0:01:51
2025-10-10,0:00:29
2025-10-11,0:13:31
2025-10-12,0:05:57
2025-10-13,0:04:15
2025-10-14,0:00:42
2025-10-15,0:00:23
2025-10-16,0:08:45
2025-10-17,0:07:27
2025-10-18,0:03:28
2025-10-19,0:00:14
2025-10-20,0:00:24
2025-10-21,0:13:25
2025-10-22,0:00:00
2025-10-23,0:00:00
2025-10-24,0:13:35
2025-10-25,0:00:00
2025-10-26,0:05:03
2025-10-27,0:10:17
2025-10-28,0:07:31
2025-10-29,0:00:00
2025-10-30,0:00:00
2025-10-31,0:00:03
2025-11-01,0:00:00
2025-11-02,0:02:19
2025-11-03,0:00:00
2025-11-04,0:06:47
2025-11-05,0:12:45
2025-11-06,0:13:27
2025-11-07,0:00:00
2025-11-08,0:08:09
2025-11-09,0:13:36
2025-11-10,0:03:35
2025-11-11,0:03:19
2025-11-12,0:05:21
2025-11-13,0:04:47
2025-11-14,0:01:45
2025-11-15,0:09:57
2025-11-16,0:06:40
2025-11-17,0:04:34
2025-11-18,0:05:36
2025-11-19,0:06:43
2025-11-20,0:04:24
2025-11-21,0:04:05
2025-11-22,0:03:58
2025-11-23,0:05:20
2025-11-24,0:03:16
2025-11-25,0:05:04
2025-11-26,0:07:18
2025-11-27,0:04:03
2025-11-28,0:03:48
2025-11-29,0:03:11
2025-11-30,0:05:21
2025-12-01,0:04:15
2025-12-02,0:04:31
2025-12-03,0:04:06
2025-12-04,0:05:32
2025-12-05,0:04:22
2025-12-06,0:04:26
2025-12-07,0:04:21
2025-12-08,0:04:32
2025-12-09,0:04:25
2025-12-10,0:03:09
2025-12-11,0:04:31
2025-12-12,0:04:43
2025-12-13,0:02:50
2025-12-14,0:03:44
2025-12-15,0:03:00
2025-12-16,0:06:46
2025-12-17,0:05:26
2025-12-18,0:03:42
2025-12-19,0:03:44
2025-12-20,0:03:38
2025-12-21,0:03:28
2025-12-22,0:03:56
2025-12-23,0:03:51
2025-12-24,0:03:40
2025-12-25,0:03:34
2025-12-26,0:03:13
2025-12-27,0:03:51
2025-12-28,0:03:51
2025-12-29,0:03:42
2025-12-30,0:03:49
2025-12-31,0:04:22
2026-01-01,0:04:06
2026-01-02,0:03:33
2026-01-03,0:03:27
2026-01-04,0:03:21
2026-01-05,0:03:02
2026-01-06,0:03:13
2026-01-07,0:03:26
2026-01-08,0:03:39
2026-01-09,0:03:03
2026-01-10,0:02:53
2026-01-11,0:02:38
2026-01-12,0:04:27
2026-01-13,0:03:21
2026-01-14,0:02:49
2026-01-15,0:03:12
2026-01-16,0:02:47
2026-01-17,0:03:35
2026-01-18,0:03:38
2026-01-19,0:02:52
2026-01-20,0:04:04
2026-01-21,0:04:54
2026-01-22,0:02:30
2026-01-23,0:04:12
2026-01-24,0:02:22
2026-01-25,0:03:06
2026-01-26,0:03:14
2026-01-27,0:03:41
2026-01-28,0:02:32
2026-01-29,0:03:28
2026-01-30,0:03:32
