コンテンツ,動画のタイトル,動画公開時刻,長さ,平均視聴時間,平均再生率（%） (%),視聴回数,総再生時間（単位: 時間）,チャンネル登録者,インプレッション数,インプレッションのクリック率 (%)
合計,,,,0:03:42,34.8,38946,2406.8955,350,611076,4.5
0PicZI8GYOI,江戸に「ざるそば」は存在しない。粋ではなく「生存」のために食われた一杯,"Dec 18, 2025",615,0:03:34,34.86,34327,2044.0698,232,524823,4.59
sNqTXquY0Og,おせち料理の歴史,"Sep 12, 2025",816,0:04:45,34.93,2506,198.3942,21,31754,6.12
RxqpMq0X4jY,【路上の経済人】江戸の天ぷら職人の歴史,"Nov 13, 2025",946,0:05:09,32.75,1381,118.8623,31,36477,2.62
ArNVaLjWHV4,【江戸の女行商人】米を焼いて生きた母たちの歴史,"Nov 27, 2025",796,0:04:30,33.99,200,15.0322,2,4093,3.23
7SlVifPvJIo,"【27,800人変死】海軍カレーは「偽装工作」だった。明治陸軍を全滅に追い込んだ「白米」の正体","Jan 30, 2026",663,0:03:30,31.74,204,11.9238,1,9263,1.8
DXr2JmmPooo,なぜ、納豆にはタレとからしが“必ず”付いているのか？,"Nov 21, 2025",302,0:02:57,58.62,184,9.0491,5,1610,7.58
ZkfWgtO3d04,【和菓子職人】安土桃山の茶人の無茶振りが、練り切りを生んだ歴史,"Dec 5, 2025",614,0:04:00,39.19,76,5.0798,-1,2109,1.9
NF_akcvENV0,忍者は「排泄」を許されない。味も匂いも捨て、便を出さないために作られた「完全吸収食」,"Dec 28, 2025",747,0:05:20,42.89,36,3.2041,1,479,4.18
aOFgucly9-U,【食のミステリー】トマト殺人事件の真犯人は『食器』だった!? 科学が暴く歴史の冤罪,"Sep 2, 2025",467,0:02:24,30.84,32,1.2802,0,468,3.63
