コメントID,タイプ,親コメントID,投稿者名,投稿日時,いいね数,コメント本文,投稿者プロファイルURL,動画URL
UgwFJQxsbrmj6KJhbDl4AaABAg,Thread,,@taiyoarata6763,2025-12-19T23:11:46Z,17,江戸の町は「屋台文化」ですね。,https://yt3.ggpht.com/ytc/AIdro_lLXligW8d4J2QQMYTW16St2-cdfyvbegLszjMJKcA=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=0PicZI8GYOI
UgyYVdbQFuBFHns-e6V4AaABAg,Thread,,@カラカル-o8c,2025-12-19T14:35:41Z,16,ざるそばはどこだったか。江戸のある店の名物。ざるに載せてたのでそういう名称。つけ汁も代えてたので日本蕎麦屋ではその味のつけ汁でざるそばとして販売してた。もりと判りやすい違いを付ける為、海苔の千切りを乗せて売ってた。,https://yt3.ggpht.com/ymyVDb4p5b_gT_ZOJJhKoksXBHLgz23lZb7ZophzAo16-Qo-cIEcJ8PKqsoMKmfD0FiwWNqffLo=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=0PicZI8GYOI
UgzZfthsHWKcGJw7KCN4AaABAg,Thread,,@nownowswanow,2025-12-21T14:58:52Z,11,ざるそばに氷なんてそもそも存在しない,https://yt3.ggpht.com/ytc/AIdro_nM_z79Y7M1XQ45rVBqlpZ1gTEsjWM_F28cN12WLs4=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=0PicZI8GYOI
UgzZfthsHWKcGJw7KCN4AaABAg.AR-PZQy2mZUAR9EnhLfzwv,Reply,UgzZfthsHWKcGJw7KCN4AaABAg,@tokoname19790803,2025-12-25T10:37:15Z,1,江戸時代だと真冬以外の初夏から真夏にかけての氷は将軍家や一部の高位の武家でのみ入手可能な超貴重品で一般庶民では見る事すら出来ないレベルですから。,https://yt3.ggpht.com/ytc/AIdro_kQdy2AUdMy9OY_UTs-Gzoge3cMvz1Rj-tLNtAk_EqnZJ0=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=0PicZI8GYOI
UgwTR2_TAg6Wx_WQRpF4AaABAg,Thread,,@oooiii9985,2025-12-20T04:24:16Z,30,父親が東京下町出身だったので、冷ごはんに味噌汁をかけて流し込む、食べ終わった後茶碗にお茶を注いで漬け物で茶碗をこすって後で洗いやすいようにする、お風呂、一番風呂より後で入った方が温まるなど、江戸時代からの習わしだったんだ。江戸時代の銭湯の湯は入れ替え、循環式、塩素なしだったから、汚れていたらしいけど。,https://yt3.ggpht.com/ytc/AIdro_lVVJ1iI-cUiZp6hPY2Idz6IIl4khVvM3NVcKedxXc=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=0PicZI8GYOI
UgwTR2_TAg6Wx_WQRpF4AaABAg.AQwh8_nTkKUAR5tBIbjZAp,Reply,UgwTR2_TAg6Wx_WQRpF4AaABAg,@kumosukeponsuke,2025-12-24T03:21:54Z,3,"懐かしい
我が家もそうでした！",https://yt3.ggpht.com/ytc/AIdro_kAW14W8dQJCL9IQAhdSgYwQpz5hvVvBt-hhJ4RH60=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=0PicZI8GYOI
UgzBFzPgyBzqTHVyrtB4AaABAg,Thread,,@bernigunther5804,2026-01-17T11:57:04Z,1,やれ湧き水で食え、とか、汁にドブ漬けするな、とか、蕎麦懐石とか、寝言は寝て言えって思う。良い内容でした！,https://yt3.ggpht.com/ytc/AIdro_kTH_AHKi93WiLAdR9s-MI9hMXGUhEwd9-FhqnbaO8=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=0PicZI8GYOI
UgweFysYN16Ygd3XR_94AaABAg,Thread,,@岩間定泰,2025-12-21T09:11:42Z,3,毎食かけ蕎麦かざる蕎麦食べてるとダイエットできる。メタボの人はやってみて,https://yt3.ggpht.com/ytc/AIdro_mkZgXSNcCsITg67iPX817erqZJBLb_6e2RGgaYZn4=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=0PicZI8GYOI
Ugxfgqca9qmHfUPb2wV4AaABAg,Thread,,@ちゃんさけ-r1s,2025-12-24T09:04:47Z,3,ざるそばに直に唐辛子かけるなよ。掃除するの大変だから,https://yt3.ggpht.com/zBTPDXQcV6j8TZD2BGOLXfT5WGXcvjtNTTxPdTQNf18f2ZxuPP1I41LPLmxGbAMtULGarcdj=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=0PicZI8GYOI
UgwjMRLH2hS6bbZotfN4AaABAg,Thread,,@kopepeboninn,2025-12-20T11:04:45Z,6,"しっかりとしたシナリオですね
登録者数と動画のクオリティからして始まったばかりですか
今後の発展が楽しみですね",https://yt3.ggpht.com/CLYKtBThz887OFEJi-1khsVowiN5aLZgEqF8RSU39z7qSL7Zm9Cbzt4_kmHEDP5i3DGmGzO3=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=0PicZI8GYOI
Ugy-oVEJOg6bj4yIY6t4AaABAg,Thread,,@無名-t8i,2025-12-21T01:33:03Z,2,今日の昼食は蕎麦に決まり。,https://yt3.ggpht.com/ytc/AIdro_napyyJj24hxcgozi5UH-QaoQAUGk3Hmehkd2BuW61polHtoiuI0yjPaadSTyqL2dbHgN5NbfLj=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=0PicZI8GYOI
