コメントID,タイプ,親コメントID,投稿者名,投稿日時,いいね数,コメント本文,投稿者プロファイルURL,動画URL
UgxqrPzl3orC4xeMBSh4AaABAg,Thread,,@べに-y4t,2025-11-07T13:14:19Z,104,一人用の鉄鍋持ってます。七輪に架けて野菜にきのこに魚に肉。好きな食材を入れて出汁や味噌で頂きます。そこに手酌で熱燗をキュッと流し込めば浮き世の憂さも吹き飛びます！貧しいながら豊かな人生かな😊,https://yt3.ggpht.com/ytc/AIdro_m2chtDGo9DzuPnJAPYF_AoY9jiZSNdml7Exj9EiIcJdpTk45B2bsjWXO4D2BeM6zK-Gp539SrF=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgxqrPzl3orC4xeMBSh4AaABAg.APDvc5UTWonAPGg8gqiDTL,Reply,UgxqrPzl3orC4xeMBSh4AaABAg,@赤い風,2025-11-08T14:56:48Z,11,豊かな暮らしをされてると思います😊,https://yt3.ggpht.com/ytc/AIdro_m7-yGh2c9kDBSihdshLV-L8vW2QULwfotFicu3LtI=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgxqrPzl3orC4xeMBSh4AaABAg.APDvc5UTWonAPGgS7zbsxm,Reply,UgxqrPzl3orC4xeMBSh4AaABAg,@赤い風,2025-11-08T14:59:28Z,15,素敵な食事をされてる時点で貧しくないです😊,https://yt3.ggpht.com/ytc/AIdro_m7-yGh2c9kDBSihdshLV-L8vW2QULwfotFicu3LtI=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgxqrPzl3orC4xeMBSh4AaABAg.APDvc5UTWonAPXLmrGhORD,Reply,UgxqrPzl3orC4xeMBSh4AaABAg,@ノエル-w2m,2025-11-15T02:17:17Z,7,マンションだと出来ないので、憧れます。羨ましい！,https://yt3.ggpht.com/ytc/AIdro_nvQ4-VDvvyP_I6c8ibPurMihbQxcSGFLtmPmzJ0Lk=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgxqrPzl3orC4xeMBSh4AaABAg.APDvc5UTWonARZIVURe7Yi,Reply,UgxqrPzl3orC4xeMBSh4AaABAg,@あげ太郎,2026-01-04T13:29:50Z,1,"レンチン鍋ならあるんだけどなぁ
きりたんぽ美味ぇ",https://yt3.ggpht.com/ytc/AIdro_kY5WQI3Xtb7YCgWZ5iUBgE7W_PyIBGhZhemzAVFyXd=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgxiitS7TbX4Mn0hFHl4AaABAg,Thread,,@やんやん-l2i,2025-11-07T09:41:59Z,95,"50代バツイチ一人暮らしの自分は、スーパーでカット野菜、豚コマ肉、鍋の素買って、1人鍋楽しんでます（笑）
シメは30円のうどん☝️
まあまあ幸せ😄",https://yt3.ggpht.com/ytc/AIdro_lk0W4sP85DTnXqjvFF69f8RmUpDvHh52sm6ofxwJ8=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgxiitS7TbX4Mn0hFHl4AaABAg.APDYK14ziQYAPFm7uawjkq,Reply,UgxiitS7TbX4Mn0hFHl4AaABAg,@scrs9285,2025-11-08T06:29:53Z,10,カット野菜は、定番の野菜炒めや中華丼とか短時間で料理が出来るから便利だね。,https://yt3.ggpht.com/ytc/AIdro_lE4B7NZ3N8szXWkPPrq7Tl-TbfXz-jrcIf8SS3-EM=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgxiitS7TbX4Mn0hFHl4AaABAg.APDYK14ziQYAPFp0bRAVqu,Reply,UgxiitS7TbX4Mn0hFHl4AaABAg,@やんやん-l2i,2025-11-08T06:55:06Z,12,"​@scrs9285
単身者の味方ですよねー。
鍋の素、カット野菜、カット済の肉で包丁まな板要らず（笑）",https://yt3.ggpht.com/ytc/AIdro_lk0W4sP85DTnXqjvFF69f8RmUpDvHh52sm6ofxwJ8=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgxiitS7TbX4Mn0hFHl4AaABAg.APDYK14ziQYAPGsoxco7Sl,Reply,UgxiitS7TbX4Mn0hFHl4AaABAg,@BlueReef69,2025-11-08T16:47:34Z,9,いいねぇ～、そういう幸せをキチンと拾っていきたいよ😉,https://yt3.ggpht.com/ytc/AIdro_mHABxys7o5BOumMvW-CcSaJcTwNat-vFvWX1bRKzwOsvGYa84=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
UgxiitS7TbX4Mn0hFHl4AaABAg.APDYK14ziQYAR5RIVmdxRs,Reply,UgxiitS7TbX4Mn0hFHl4AaABAg,@やんやん-l2i,2025-12-23T23:09:29Z,0,"袋破って、鍋にポイポイ入れるだけ（笑）
鍋の素もパウチかキューブ❤
カップ麺作る手間と変わらない（笑）",https://yt3.ggpht.com/ytc/AIdro_lk0W4sP85DTnXqjvFF69f8RmUpDvHh52sm6ofxwJ8=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
Ugxs1M-NJwdyDfRYKVB4AaABAg,Thread,,@manekineko66,2025-11-07T04:29:39Z,37,今回みたいな箇条書き的な説明はナレーションで、ずんだもんと登場人物の軽快な会話の作りは凄くわかりやすく見やすいですね。,https://yt3.ggpht.com/ytc/AIdro_kfeqUpq3JQyAjDbcG2JpPD_zrs-UeSKHubZfKqdLL1YA=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=8iLA0MLSXVU
