コメントID,タイプ,親コメントID,投稿者名,投稿日時,いいね数,コメント本文,投稿者プロファイルURL,動画URL
UgzBy4xxfgUBBpe8iKR4AaABAg,Thread,,@abbtk14,2025-12-29T09:50:05Z,53,ウナギなんかタレの味だろという人もいますが、代用ウナギを食べてみればウナギ独特の脂あってこその蒲焼だって思い知ることができます。白焼きをワサビのみで味わえるのもウナギだからこそ。,https://yt3.ggpht.com/ytc/AIdro_n3o8y1V7F65VedVjYX_USLlPDaCI92HNrtNmH4NVE=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
UgzBy4xxfgUBBpe8iKR4AaABAg.ARJS_kjKTILARJc4td3Ng_,Reply,UgzBy4xxfgUBBpe8iKR4AaABAg,@yuki3695-r5h,2025-12-29T11:21:51Z,7,鰻なんかタレの味とかそんなこと言う人は鰻食べ慣れてないバカ舌ぐらいですよ。,https://yt3.ggpht.com/eSgSJbF3etKntisnSmsLly4MCDXtiCr8aQV9F4-RmNpYMuT80FbY1h8BbZoMJ9yJdLUrBu-P=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
UgzBy4xxfgUBBpe8iKR4AaABAg.ARJS_kjKTILARJmIFTosA6,Reply,UgzBy4xxfgUBBpe8iKR4AaABAg,@111klxtr2,2025-12-29T12:51:03Z,7,"イギリス行ってうなぎのゼリー寄せ食べてみ。
日本に生まれた事に、
蒲焼きを考えた人に、
マジ感謝。
そして蒲焼きの美味しさを
他国に秘密にするべき",https://yt3.ggpht.com/ytc/AIdro_lL1AUMgJAKy2XIGYlYfVfIOyrq5ViBV_0c7hzZl90=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
UgzBy4xxfgUBBpe8iKR4AaABAg.ARJS_kjKTILARJtVaC6j9c,Reply,UgzBy4xxfgUBBpe8iKR4AaABAg,@ササクロ,2025-12-29T13:54:02Z,2,鰻なんかタレの味って人たちって鰻に偏見を持っているのか日本文化に偏見を持っている人たちみたい。日本人の中に稀に頑固な人っているけど相対的に日本落としをしている側の人は多そう。思い出話になるけど現役時の20数年前にある商談的なことで浜松方面へ、せっかくだからと自前で駅近辺でうな丼を食べてほか弁との味の違いに痛感の後はしっかりとした店に。商談的な方は期待外れだったが浜松方面の出張と言う面では感謝。後に別な大手から機材購入になったが営業ではなく技術・研究職時代。出張報告は都度やった、大手の方では自前のＵＳＢ持参で（この頃は二つの意味で、画像ではＦＤではメモリー不足、情報流失。後者はその当時は社内外でＵＳＢは言われなかった的な思い出）。後に努めている職場で情報流失的なことがあってＵＳＢの制限や他にも色々なことが。大半が別話になってすみません、世の中には魑魅魍魎みたいな人たちは近い人達にも色々いるってことですけど関係ないことを色々書き込んで最後にですけど自分を魑魅魍魎と言う人たちもいる覚悟。,https://yt3.ggpht.com/ytc/AIdro_kl5DflvSAt5cCateTrSwaLn4GBN9r6Kpu3KbWBVHt3T53dfl0=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
UgzBy4xxfgUBBpe8iKR4AaABAg.ARJS_kjKTILARLOZ9BsOR5,Reply,UgzBy4xxfgUBBpe8iKR4AaABAg,@淡水化物-y6k,2025-12-30T03:53:24Z,4,​@ササクロ鰻のタレは大量の骨から旨味が出まくった蓄積が凄いのですわ〜,https://yt3.ggpht.com/x5r87-DWOngjw_QAAduQQDSjTW_qz9sacRTE3d2hzSH7viVSnoUgMevGVg-N9lMiJvwwok1Scpg=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
UgzBy4xxfgUBBpe8iKR4AaABAg.ARJS_kjKTILARftgR6wjDp,Reply,UgzBy4xxfgUBBpe8iKR4AaABAg,@うぃにーぷー-f6c,2026-01-07T12:18:11Z,3,"でも、白焼き食べると
損した気分になります（笑）",https://yt3.ggpht.com/ytc/AIdro_mgqolfOJ_j0nNkFLievdEVqk0FQhO1g25RoIt0928=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
UgzaB_6w4NZtlnHtcBd4AaABAg,Thread,,@主水中村,2026-01-29T20:43:31Z,0,泣いた！,https://yt3.ggpht.com/ytc/AIdro_lspslCLkkPIIJN7wrIpA-xEzTroqHcTSBXJViSrS3xP1A=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
UgxZJ6yty4KfnK3r2vx4AaABAg,Thread,,@さくらサクラ-s7r,2026-02-08T06:14:56Z,0,"昔は鰻の他、ドジョウや鯉も食べられてたかと。
関西に行って半助豆腐を食べてみたいものだ。",https://yt3.ggpht.com/GCgb0FFsu7SvKmWCMPfYJjSAjmwoltSuBvGYsXf93-clzdTqSHse_Kd5msE5tpvyk0s0zvGXjA=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
UgxOaCTEeAT3bA8zHjB4AaABAg,Thread,,@もち吉-x5y,2025-12-29T10:06:01Z,17,うなぎかー。何年も食べてないなー😢,https://yt3.ggpht.com/MYkinUc4YjIQ-vgD9fzr2Lviv7RYTltZfv8gnPV3EsxxkTEfnHcXvzQby44343LUC5jAhi9-KQI=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
UgxOaCTEeAT3bA8zHjB4AaABAg.ARJUPS-hzsbARTKOYGknQl,Reply,UgxOaCTEeAT3bA8zHjB4AaABAg,@kikaiserseasonform,2026-01-02T05:50:55Z,2,年に1回は食ってるから申し訳ない😅,https://yt3.ggpht.com/1A-Pun6Xh2WfpnIQLz4cFKw1ivSI7pVK4cNl2f7_3bP30ULriDwaVkTj3X_ka3eImLbDWERy3Q=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
UgytZxqSeE0IgmwJnfF4AaABAg,Thread,,@masayaototaman,2025-12-29T21:01:02Z,11,"昔は国産うなぎが、
スーパーで６００円とかで売ってたな。
今じゃ、輸入物ですら、
そんな安い値段じゃ売ってないし😮",https://yt3.ggpht.com/ytc/AIdro_mNxI7KKsxSgFysasVfNH-joL1uvxTK9JVW7agFLs0=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
Ugx3nCVYSAMSjplzVKp4AaABAg,Thread,,@第五天織田敦,2025-12-29T10:06:32Z,18,"うなぎは万葉集にも記載があるぐらい古くから食べられてるからな
そして鰻の旬は冬
夏の土用の丑は平賀源内が、夏に売れない鰻を売れるようにしたからな",https://yt3.ggpht.com/x57-0nnDNe0boGKCEJK39MDwYEOvEIvpFsb_nkqnON5HWqBS7_JGQWMUFxyuUx3wMxg7vli5XA=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
Ugx3nCVYSAMSjplzVKp4AaABAg.ARJUTF9dCl3ARJZZywd-bP,Reply,Ugx3nCVYSAMSjplzVKp4AaABAg,@9lives90,2025-12-29T10:51:08Z,4,無理やり夏の土用に合わせるために、台湾中国から稚魚を輸入して温室プールで飼料薬剤ホルモン剤バンバン与えて太らすって養鰻業者が言ってた。,https://yt3.ggpht.com/XPKoLFr9-fu2YK225b3PQQrj4BdRbFsendELo1wYipRD2Z9w9vTaI6BA8wBXplSPSiZX67UyoA=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
Ugx3nCVYSAMSjplzVKp4AaABAg.ARJUTF9dCl3ARJz9IFLt_Y,Reply,Ugx3nCVYSAMSjplzVKp4AaABAg,@ササクロ,2025-12-29T14:43:26Z,1,@9lives90 稚魚は別にして成魚の台湾産だと安心感、中国産は怖い。それにしてもここで言う稚魚はどの段階？　温水プールの台湾中国の飼育方法を詳しく聴いて再発信して欲しい、養鰻業者に問い合わせしてでも。事実か？国内の養鰻業者の思い込みか？　中国産は怖いから自分の意志では得選ばない。,https://yt3.ggpht.com/ytc/AIdro_kl5DflvSAt5cCateTrSwaLn4GBN9r6Kpu3KbWBVHt3T53dfl0=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
Ugx3nCVYSAMSjplzVKp4AaABAg.ARJUTF9dCl3ARKShCJiUO9,Reply,Ugx3nCVYSAMSjplzVKp4AaABAg,@9lives90,2025-12-29T19:10:21Z,2,"​​​​​@ササクロ自分でちゃんと調べて見学行けば良いじゃん、問い合わせてでも詳しく聞いてきて教えろとか爺さん大丈夫か？

稚魚は稚魚だよ、年末年始に輸入して夏の土用の丑の日前に合わせて半年で一気に肥らせるんだから、中国台湾に限らず国産も薬剤てんこ盛りのは理解できるでしょ？

あと、香港経由でウナギロンダリングしているから台湾産や国産と表示してあっても鵜呑みにしないことね。",https://yt3.ggpht.com/XPKoLFr9-fu2YK225b3PQQrj4BdRbFsendELo1wYipRD2Z9w9vTaI6BA8wBXplSPSiZX67UyoA=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
Ugx3nCVYSAMSjplzVKp4AaABAg.ARJUTF9dCl3ARLOj83Wekr,Reply,Ugx3nCVYSAMSjplzVKp4AaABAg,@淡水化物-y6k,2025-12-30T03:54:53Z,4,でも養殖は夏にピークを調整しているのですわね…,https://yt3.ggpht.com/x5r87-DWOngjw_QAAduQQDSjTW_qz9sacRTE3d2hzSH7viVSnoUgMevGVg-N9lMiJvwwok1Scpg=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
UgxGcTzlr5Ico9hXI554AaABAg,Thread,,@brzm45,2026-01-18T09:19:40Z,0,幕末の西郷さんは鰻が好物だったみたい。,https://yt3.ggpht.com/ytc/AIdro_l2AW9Fi2Hfxq90--d6ID8jgHv-ppFP8vv9OKJt8jw=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
Ugw1WIzakxbTIVZEVvB4AaABAg,Thread,,@ただの人-u3c,2025-12-29T12:38:23Z,4,"茄子の蒲焼で我慢させられる0:06
ずんだもんのサイズ7:07
ずんだもんを枝豆🫛として食べる宴会18:08",https://yt3.ggpht.com/ytc/AIdro_nJ3GmB_Y_Mz_AvaCtptwHD_RsrvrmKYN21xhUAHfI=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
UgyeuKtZvSMs6EL3vKt4AaABAg,Thread,,@佐藤太郎-i5k,2025-12-30T19:56:46Z,1,当時は砂糖が高価だったから味醂と酒だけで甘みを出していて、今もその手法で提供してるうなぎ屋が上野辺りにあるという話も聞いたことが,https://yt3.ggpht.com/ytc/AIdro_kbcPpkBsRT4GdHhXJ3mx6RFupIwO7B-JmpNxgj9HOooSw=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
UgzhAMvL2qjEeO_xNUp4AaABAg,Thread,,@SSAAAPO,2026-01-04T06:58:25Z,1,調味料から辰五郎パターン😮‍💨,https://yt3.ggpht.com/ytc/AIdro_lJZnf3YV8uvFdSniTgdhBbE17G_8v8VcBHYOHe0y91Yg=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
UgzKOrm9QbcJULglSW14AaABAg,Thread,,@cbbry783,2026-01-19T08:22:11Z,1,お話 面白かったけど なぜ現在 夏の風物詩 なんだろう 冬のが太ってるのに,https://yt3.ggpht.com/ytc/AIdro_kCrWd2Pk2meoyXA42mtW0MNy1RkdjWGUvGG39Lwzeb2oo=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
UgwuU6fCnaapXFfHmZB4AaABAg,Thread,,@猫吉-o5w,2025-12-30T00:54:14Z,1,"何故か、現代の鰻屋の店主が丁髷姿になってる🤣
鰻、今年は一度も食べてない😢",https://yt3.ggpht.com/ytc/AIdro_nEXErB8iDobHAzF8briRfCuh1VNww-_ojzbnU3NlEVQB8=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
UgyJDT3dA06kXo4C2TN4AaABAg,Thread,,@touhaku,2025-12-29T11:56:02Z,2,美味いウナギが安く食えるなら俺の北斗神拳奥義『うなぎ100円』の秘孔を突きまくって店主をごまかす。が、みんなにやればデフレが起きるので俺だけこっそりとやる,https://yt3.ggpht.com/qK7Oz4CrRjIN7sj6Tdqomqxh28TMBpXfF0FcIZS4Sszzy82QluDBhUrA6P0A6LZ39TQQYVmgNw=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
UgzrdT3frwbaIOd5FTx4AaABAg,Thread,,@ロック6969,2025-12-30T04:24:09Z,1,"配信、感謝します。
江戸の頃でも、うなぎは結構高値だったとか。
それだけに腕前がよければ食いっぱぐれない職業なのだそうですね。　しかし昔の人の食べ物への探究心には心底おどろきます。",https://yt3.ggpht.com/ytc/AIdro_mAJgEuSTJL3fE4_DM-dPpBQEs1_LGvCBsxpu3LU56LZQ=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
UgzlksKCAl9OlVPig4J4AaABAg,Thread,,@猫丸-r4t,2025-12-29T11:08:53Z,5,"子供の頃、鰻嫌いだったなぁ。
お寿司の鰻が、なんか骨あって食いづらかった。
今は好きだけど、値段見ると躊躇してなかなか手が出せない。😓",https://yt3.ggpht.com/iIZvkgvx1GrO4VXECyDF8UI8X3OBHdm5gdKYgQe8TBEgUyHCNLaYQVG119u7OWn1kZyoUuSh_g=s48-c-k-c0x00ffffff-no-rj,https://www.youtube.com/watch?v=cYQ1ni_Xk14
